county_name,year,Acres
UNION,1997,154451.0
WALLOWA,2012,91348.0
WALLOWA,2007,130401.0
WALLOWA,2002,130282.0
WALLOWA,1997,151364.0
COOS,2012,20604.0
COOS,2007,24799.0
COOS,2002,32280.0
COOS,1997,29447.0
CURRY,2012,5087.0
CURRY,2007,13362.0
CURRY,2002,8177.0
CURRY,1997,19181.0
DOUGLAS,2012,88155.0
DOUGLAS,2007,100432.0
DOUGLAS,2002,80623.0
DOUGLAS,1997,106781.0
JACKSON,2012,72549.0
JACKSON,2007,57020.0
JACKSON,2002,66097.0
JACKSON,1997,55408.0
JOSEPHINE,2012,3754.0
JOSEPHINE,2007,6484.0
JOSEPHINE,2002,2993.0
JOSEPHINE,1997,4590.0
CROOK,2012,90148.0
CROOK,2007,108822.0
CROOK,2002,170379.0
CROOK,1997,213901.0
DESCHUTES,2012,12344.0
DESCHUTES,2007,17569.0
DESCHUTES,2002,22929.0
DESCHUTES,1997,21562.0
GRANT,2012,131397.0
GRANT,2007,202588.0
GRANT,2002,193331.0
GRANT,1997,241908.0
HARNEY,2012,218185.0
HARNEY,2007,229727.0
HARNEY,2002,206269.0
HARNEY,1997,176861.0
JEFFERSON,2012,105733.0
JEFFERSON,2007,143972.0
JEFFERSON,2002,109252.0
JEFFERSON,1997,93727.0
KLAMATH,2012,292989.0
KLAMATH,2007,170070.0
KLAMATH,2002,173175.0
KLAMATH,1997,183880.0
LAKE,2012,78580.0
LAKE,2002,128988.0
LAKE,1997,150791.0
MALHEUR,2012,144091.0
MALHEUR,2007,146099.0
MALHEUR,2002,142206.0
MALHEUR,1997,159675.0
WHEELER,2012,195504.0
WHEELER,2007,144596.0
WHEELER,2002,215559.0
WHEELER,1997,148652.0
BENTON,2012,5222.0
BENTON,2007,3181.0
BENTON,2002,1547.0
CLACKAMAS,2012,5104.0
CLACKAMAS,2007,6166.0
CLACKAMAS,2002,6135.0
CLATSOP,2012,331.0
CLATSOP,2007,365.0
CLATSOP,2002,348.0
COLUMBIA,2012,889.0
COLUMBIA,2007,1519.0
COLUMBIA,2002,1204.0
LANE,2012,13478.0
LANE,2007,13027.0
LANE,2002,4092.0
LINCOLN,2012,303.0
LINCOLN,2007,460.0
LINCOLN,2002,132.0
LINN,2012,6702.0
LINN,2007,5492.0
LINN,2002,9085.0
MARION,2012,5435.0
MARION,2007,19957.0
MARION,2002,3425.0
MULTNOMAH,2012,2007.0
MULTNOMAH,2007,677.0
MULTNOMAH,2002,655.0
POLK,2012,2438.0
POLK,2007,4182.0
POLK,2002,2159.0
TILLAMOOK,2012,224.0
TILLAMOOK,2007,542.0
TILLAMOOK,2002,126.0
WASHINGTON,2012,3723.0
WASHINGTON,2007,2029.0
WASHINGTON,2002,2794.0
YAMHILL,2012,7501.0
YAMHILL,2007,6111.0
YAMHILL,2002,3607.0
GILLIAM,2007,4752.0
GILLIAM,2002,3428.0
HOOD RIVER,2012,1494.0
HOOD RIVER,2007,1363.0
HOOD RIVER,2002,973.0
MORROW,2012,7884.0
MORROW,2007,14207.0
MORROW,2002,9006.0
SHERMAN,2012,1714.0
SHERMAN,2007,3511.0
SHERMAN,2002,8222.0
WASCO,2012,3410.0
WASCO,2007,1813.0
WASCO,2002,2488.0
BAKER,2012,4576.0
BAKER,2007,5567.0
BAKER,2002,3479.0
UMATILLA,2012,31069.0
UMATILLA,2007,22041.0
UMATILLA,2002,15373.0
UNION,2012,2850.0
UNION,2007,6002.0
UNION,2002,2405.0
WALLOWA,2012,1399.0
WALLOWA,2007,3180.0
WALLOWA,2002,1437.0
COOS,2012,1246.0
